Simplified,Translation,Traditional,Pinyin
她在归途中给远方的家人打电话。,"Trong chuyến hành trình trở về, cô ấy đã gọi điện thoại cho gia đình xa xôi.",她在歸途中給遠方的家人打電話。,tā zài guītú zhōng gěi yuǎnfāng de jiārén dǎdiànhuà 。
他们在归途中品尝了当地的特色美食。,"Trong chuyến hành trình trở về, họ đã thưởng thức các món ăn đặc sản địa phương.",他們在歸途中品嚐了當地的特色美食。,tāmen zài guītú zhōng pǐncháng le dāngdì de tèsèměishí 。
他们在归途中遇到了一场突如其来的暴雨。,"Trong chuyến hành trình trở về, họ đã gặp phải một cơn mưa bão bất ngờ.",他們在歸途中遇到了一場突如其來的暴雨。,tāmen zài guītú zhōng yùdào le yīcháng tūrúqílái de bàoyǔ 。
他被录取为这所大学的学生。,Anh ta đã được nhận vào làm sinh viên của trường đại học này.,他被錄取爲這所大學的學生。,tā bèi lùqǔ wèi zhè suǒ dàxué de xuéshēng 。
这所中学录取了他。,Trường trung học đã nhận vào anh ta.,這所中學錄取了他。,zhèsuǒ zhōngxué lùqǔ le tā 。
他成功地被录取到了这所医院。,Anh ta đã được nhận vào làm bác sĩ ở bệnh viện này.,他成功地被錄取到了這所醫院。,tā chénggōng dìbèi lùqǔ dào le zhè suǒ yīyuàn 。
她被录取为公司的新员工。,Cô ấy đã được nhận vào làm nhân viên mới của công ty.,她被錄取爲公司的新員工。,tā bèi lùqǔ wèi gōngsī de xīn yuángōng 。
他们被录取进入这所顶尖的大学。,Họ đã được nhận vào làm sinh viên của trường đại học hàng đầu này.,他們被錄取進入這所頂尖的大學。,tāmen bèi lùqǔ jìnrù zhèsuǒ dǐngjiān de dàxué 。
他被录取为研究生。,Anh ta đã được nhận vào làm sinh viên sau đại học.,他被錄取爲研究生。,tā bèi lùqǔ wèi yánjiūshēng 。
她成功地被录取到了心仪的大学。,Cô ấy đã được nhận vào trường đại học mơ ước.,她成功地被錄取到了心儀的大學。,tā chénggōng dìbèi lùqǔ dào le xīnyí de dàxué 。
他被录取为公司的重要职位。,Anh ta đã được nhận vào chức vụ quan trọng của công ty.,他被錄取爲公司的重要職位。,tā bèi lùqǔ wèi gōngsī de zhòngyào zhíwèi 。
她被录取为音乐学院的学生。,Cô ấy đã được nhận vào làm sinh viên của trường âm nhạc.,她被錄取爲音樂學院的學生。,tā bèi lùqǔ wèi yīnyuèxuéyuàn de xuéshēng 。
他被录取为这所大学的教授。,Anh ta đã được nhận vào làm giáo sư của trường đại học này.,他被錄取爲這所大學的教授。,tā bèi lùqǔ wèi zhè suǒ dàxué de jiàoshòu 。
他们被录取为这所大学的研究生。,Họ đã được nhận vào làm sinh viên sau đại học của trường đại học này.,他們被錄取爲這所大學的研究生。,tāmen bèi lùqǔ wèi zhè suǒ dàxué de yánjiūshēng 。
她被录取为公司的销售员。,Cô ấy đã được nhận vào làm nhân viên bán hàng của công ty.,她被錄取爲公司的銷售員。,tā bèi lùqǔ wèi gōngsī de xiāoshòuyuán 。
他被录取进入这所顶尖的医学院。,Anh ta đã được nhận vào làm sinh viên của trường y hàng đầu này.,他被錄取進入這所頂尖的醫學院。,tā bèi lùqǔ jìnrù zhèsuǒ dǐngjiān de yīxuéyuàn 。
她被录取为这所大学的助教。,Cô ấy đã được nhận vào làm giảng viên trợ giảng của trường đại học này.,她被錄取爲這所大學的助教。,tā bèi lùqǔ wèi zhè suǒ dàxué de zhùjiào 。
他成功地被录取到了这所研究机构。,Anh ta đã được nhận vào làm nhân viên của tổ chức nghiên cứu này.,他成功地被錄取到了這所研究機構。,tā chénggōng dìbèi lùqǔ dào le zhè suǒ yánjiū jīgòu 。
她被录取为公司的财务分析师。,Cô ấy đã được nhận vào làm nhà phân tích tài chính của công ty.,她被錄取爲公司的財務分析師。,tā bèi lùqǔ wèi gōngsī de cáiwù fēnxīshī 。
他被录取进入这所顶尖的商学院。,Anh ta đã được nhận vào làm sinh viên của trường kinh doanh hàng đầu này.,他被錄取進入這所頂尖的商學院。,tā bèi lùqǔ jìnrù zhèsuǒ dǐngjiān de shāngxuéyuàn 。
她被录取为公司的市场部主管。,Cô ấy đã được nhận vào làm quản lý bộ phận marketing của công ty.,她被錄取爲公司的市場部主管。,tā bèi lùqǔ wèi gōngsī de shìchǎngbù zhǔguǎn 。
他被录取为这所大学的博士生。,Anh ta đã được nhận vào làm sinh viên tiến sĩ của trường đại học này.,他被錄取爲這所大學的博士生。,tā bèi lùqǔ wèi zhè suǒ dàxué de bóshìshēng 。
她被录取为这所大学的辅导员。,Cô ấy đã được nhận vào làm cố vấn học sinh của trường đại học này.,她被錄取爲這所大學的輔導員。,tā bèi lùqǔ wèi zhè suǒ dàxué de fǔdǎoyuán 。
他的看法彻底改变了我对这个问题的理解。,Cách nhìn của anh ấy đã thay đổi hoàn toàn cách hiểu của tôi về vấn đề này.,他的看法徹底改變了我對這個問題的理解。,tā de kànfǎ chèdǐgǎibiàn le wǒ duì zhège wèntí de lǐjiě 。
彻底清洁房间需要花费很多时间。,Việc làm sạch phòng hoàn toàn sẽ tốn nhiều thời gian.,徹底清潔房間需要花費很多時間。,chèdǐ qīngjié fángjiān xūyào huāfèi hěnduō shíjiān 。
这个决定彻底影响了我们的未来。,Quyết định này đã ảnh hưởng hoàn toàn đến tương lai của chúng tôi.,這個決定徹底影響了我們的未來。,zhège juédìng chèdǐ yǐngxiǎng le wǒmen de wèilái 。
彻底的失败让他感到非常沮丧。,Sự thất bại hoàn toàn đã làm cậu ấy cảm thấy rất buồn.,徹底的失敗讓他感到非常沮喪。,chèdǐ de shībài ràng tā gǎndào fēicháng jǔsàng 。
彻底理解这个理论需要深入研究。,"Để hiểu rõ lý thuyết này, chúng ta cần nghiên cứu kỹ lưỡng.",徹底理解這個理論需要深入研究。,chèdǐ lǐjiě zhège lǐlùn xūyào shēnrùyánjiū 。
彻底的改革需要所有人的参与。,Sự cải cách hoàn toàn cần sự tham gia của mọi người.,徹底的改革需要所有人的參與。,chèdǐ de gǎigé xūyào suǒyǒurén de cānyù 。
彻底的清洗才能去除污渍。,Chỉ việc làm sạch hoàn toàn mới có thể loại bỏ vết bẩn.,徹底的清洗才能去除污漬。,chèdǐ de qīngxǐ cáinéng qùchú wūzì 。
彻底的反思让他意识到自己的错误。,Sự phản ánh sâu sắc đã giúp cậu ấy nhận ra lỗi lầm của mình.,徹底的反思讓他意識到自己的錯誤。,chèdǐ de fǎnsī ràng tā yìshí dào zìjǐ de cuòwù 。
彻底的清洁可以让房间焕然一新。,Việc làm sạch hoàn toàn có thể làm cho phòng trông mới mẻ.,徹底的清潔可以讓房間煥然一新。,chèdǐ de qīngjié kěyǐ ràng fángjiān huànrányìxīn 。
彻底的准备才能应对挑战。,Chuẩn bị hoàn toàn là cần thiết để đối mặt với thách thức.,徹底的準備才能應對挑戰。,chèdǐ de zhǔnbèi cáinéng yìngduì tiǎozhàn 。
彻底的分析才能得出正确的结论。,Phân tích hoàn toàn là cần thiết để đưa ra kết luận đúng đắn.,徹底的分析才能得出正確的結論。,chèdǐ de fēnxī cáinéng déchū zhèngquè de jiélùn 。
彻底的沟通才能解决误会。,Giao tiếp hoàn toàn là cần thiết để giải quyết sự hiểu lầm.,徹底的溝通才能解決誤會。,chèdǐ de gōutōng cáinéng jiějué wùhuì 。
彻底的清洁可以去除所有细菌。,Việc làm sạch hoàn toàn có thể loại bỏ tất cả vi khuẩn.,徹底的清潔可以去除所有細菌。,chèdǐ de qīngjié kěyǐ qùchú suǒyǒu xìjūn 。
彻底的改变需要时间。,Sự thay đổi hoàn toàn cần thời gian.,徹底的改變需要時間。,chèdǐ de gǎibiàn xūyào shíjiān 。
彻底的了解需要深入探讨。,Hiểu rõ hoàn toàn cần sự khám phá sâu sắc.,徹底的瞭解需要深入探討。,chèdǐ de liǎojiě xūyào shēnrùtàntǎo 。
彻底的清洁可以让地毯恢复原貌。,Việc làm sạch hoàn toàn có thể làm cho thảm trông như mới.,徹底的清潔可以讓地毯恢復原貌。,chèdǐ de qīngjié kěyǐ ràng dìtǎn huīfù yuánmào 。
彻底的思考才能得出正确的答案。,Sự suy nghĩ kỹ lưỡng là cần thiết để đạt được câu trả lời đúng.,徹底的思考才能得出正確的答案。,chèdǐ de sīkǎo cáinéng déchū zhèngquè de dáàn 。
彻底的检查可以确保安全。,Kiểm tra kỹ lưỡng có thể đảm bảo an toàn.,徹底的檢查可以確保安全。,chèdǐ de jiǎnchá kěyǐ quèbǎoānquán 。
彻底的改革才能解决根本问题。,Sự cải cách hoàn toàn là cần thiết để giải quyết vấn đề gốc rễ.,徹底的改革才能解決根本問題。,chèdǐ de gǎigé cáinéng jiějué gēnběn wèntí 。
彻底的准备才能取得成功。,Chuẩn bị hoàn toàn là cần thiết để thành công.,徹底的準備才能取得成功。,chèdǐ de zhǔnbèi cáinéng qǔdéchénggōng 。
彻底的改变才能带来新的机遇。,Sự thay đổi hoàn toàn mới có thể mang lại cơ hội mới.,徹底的改變才能帶來新的機遇。,chèdǐ de gǎibiàn cáinéng dàilái xīn de jīyù 。
我们彼此分享了这个好消息。,Chúng ta đã chia sẻ tin vui này với nhau.,我們彼此分享了這個好消息。,wǒmen bǐcǐ fēnxiǎng le zhège hǎoxiāoxī 。
彼此之间的信任很重要。,Sự tin tưởng giữa chúng ta rất quan trọng.,彼此之間的信任很重要。,bǐcǐzhījiān de xìnrèn hěn zhòngyào 。
我俩彼此都很欣赏对方的才华。,Chúng tôi đều rất ngưỡng mộ tài năng của nhau.,我倆彼此都很欣賞對方的才華。,wǒliǎ bǐcǐ dōu hěn xīnshǎng duìfāng de cáihuá 。
彼此间的理解非常重要。,Sự hiểu biết lẫn nhau rất quan trọng.,彼此間的理解非常重要。,bǐcǐjiān de lǐjiě fēicháng zhòngyào 。
他俩彼此相爱，相互扶持。,"Anh ấy và cô ấy yêu thương nhau, giúp đỡ lẫn nhau.",他倆彼此相愛，相互扶持。,tāliǎ bǐcǐ xiāngài ， xiānghù fúchí 。
彼此间的友谊是无价的。,Tình bạn giữa chúng ta là không thể so sánh được.,彼此間的友誼是無價的。,bǐcǐjiān de yǒuyì shì wújià de 。
他们彼此竞争，但又相互尊重。,Họ cạnh tranh với nhau nhưng vẫn tôn trọng lẫn nhau.,他們彼此競爭，但又相互尊重。,tāmen bǐcǐ jìngzhēng ， dàn yòu xiānghùzūnzhòng 。
我们一起努力，彼此鼓励。,"Chúng ta cùng cố gắng, khích lệ lẫn nhau.",我們一起努力，彼此鼓勵。,wǒmen yìqǐ nǔlì ， bǐcǐ gǔlì 。
彼此之间的误会不应该存在。,Sự hiểu lầm giữa chúng ta không nên tồn tại.,彼此之間的誤會不應該存在。,bǐcǐzhījiān de wùhuì bù yīnggāi cúnzài 。
他们彼此之间的竞争促进了双方的成长。,Sự cạnh tranh giữa họ đã giúp cả hai phát triển.,他們彼此之間的競爭促進了雙方的成長。,tāmen bǐcǐzhījiān de jìngzhēng cùjìn le shuāngfāng de chéngzhǎng 。
彼此间的默契让他们合作更加顺利。,Sự hiểu ý lẫn nhau giúp họ làm việc cùng nhau dễ dàng hơn.,彼此間的默契讓他們合作更加順利。,bǐcǐjiān de mòqì ràng tāmen hézuò gèngjiā shùnlì 。
他们彼此分享了各自的梦想。,Họ đã chia sẻ những ước mơ của mình với nhau.,他們彼此分享了各自的夢想。,tāmen bǐcǐ fēnxiǎng le gèzì de mèngxiǎng 。
彼此间的了解可以加深友谊。,Sự hiểu biết lẫn nhau có thể làm sâu sắc tình bạn.,彼此間的瞭解可以加深友誼。,bǐcǐjiān de liǎojiě kěyǐ jiāshēn yǒuyì 。
他们彼此约定要一起度过难关。,Họ đã hứa với nhau sẽ vượt qua khó khăn cùng nhau.,他們彼此約定要一起度過難關。,tāmen bǐcǐ yuēdìng yào yìqǐ dùguònánguān 。
我们彼此之间的支持给了我们力量。,Sự hỗ trợ giữa chúng ta đã cho chúng ta sức mạnh.,我們彼此之間的支持給了我們力量。,wǒmen bǐcǐzhījiān de zhīchí gěi le wǒmen lìliàng 。
彼此间的尊重是建立良好关系的基础。,Sự tôn trọng lẫn nhau là nền tảng cho mối quan hệ tốt đẹp.,彼此間的尊重是建立良好關係的基礎。,bǐcǐjiān de zūnzhòng shì jiànlì liánghǎo guānxì de jīchǔ 。
他的演讲非常精彩，待续。,"Bài phát biểu của anh ấy rất tuyệt vời, chưa hết đâu.",他的演講非常精彩，待續。,tā de yǎnjiǎng fēicháng jīngcǎi ， dàixù 。
这只是一个开始，待续。,"Đây chỉ mới là bước đầu tiên, chưa hết đâu.",這只是一個開始，待續。,zhè zhǐshì yígè kāishǐ ， dàixù 。
今天的课程到此为止，明天待续。,"Buổi học hôm nay kết thúc ở đây, ngày mai sẽ tiếp tục.",今天的課程到此爲止，明天待續。,jīntiān de kèchéng dàocǐwéizhǐ ， míngtiān dàixù 。
他的画作让人着迷，待续。,"Minh họa của anh ấy thật hấp dẫn, chưa hết đâu.",他的畫作讓人着迷，待續。,tā de huàzuò ràng rén zháomí ， dàixù 。
这次旅行还没有结束，待续。,"Lần du lịch này vẫn chưa kết thúc, chưa hết đâu.",這次旅行還沒有結束，待續。,zhècì lǚxíng hái méiyǒu jiéshù ， dàixù 。
她还有很多故事要讲，待续。,"Cô ấy còn nhiều câu chuyện để kể, chưa hết đâu.",她還有很多故事要講，待續。,tā háiyǒu hěnduō gùshì yào jiǎng ， dàixù 。
这次比赛还有最后冲刺，待续。,"Cuộc thi này còn có phần bứt phá cuối cùng, chưa hết đâu.",這次比賽還有最後衝刺，待續。,zhècì bǐsài háiyǒu zuìhòu chōngcì ， dàixù 。
她还有很多任务要完成，待续。,"Cô ấy còn nhiều việc cần hoàn thành, chưa hết đâu。",她還有很多任務要完成，待續。,tā háiyǒu hěnduō rènwù yào wánchéng ， dàixù 。
今天的任务完成了，明天待续。,"Công việc hôm nay đã hoàn thành, ngày mai sẽ tiếp tục.",今天的任務完成了，明天待續。,jīntiān de rènwù wánchéng le ， míngtiān dàixù 。
这次会议还未结束，待续。,"Cuộc họp này vẫn chưa kết thúc, chưa hết đâu。",這次會議還未結束，待續。,zhècì huìyì hái wèi jiéshù ， dàixù 。
他还有很多问题要回答，待续。,"Anh ấy còn nhiều câu hỏi cần trả lời, chưa hết đâu。",他還有很多問題要回答，待續。,tā háiyǒu hěnduō wèntí yào huídá ， dàixù 。
